id_client;nom_client;ville_client;email;date_creation
1;Alexandre Traore;Versailles;guillaumegallet@labbe.com;2025-01-08 14:18:46
2;Alexandria Martinez;Paris;corinnemarion@guilbert.fr;2021-11-15 21:14:38
3;Laurence Robert;Boulogne-Billancourt;roger23@dbmail.com;2020-11-13 13:21:02
4;Laurent Pereira;Versailles;susan07@yahoo.fr;2023-03-22 01:34:09
5;Robert Cousin;Créteil;marysemuller@gmail.com;2025-08-16 11:22:01
6;William Chevalier-Rey;Paris;cecile52@live.com;2023-01-08 18:54:13
7;Xavier Le Boutin;Paris;isaacpinto@dupuy.net;2022-10-04 12:16:23
8;Gabriel David;Versailles;christophe39@dbmail.com;2021-10-22 14:35:02
9;Nicole Weiss;Nanterre;guillaume38@letellier.fr;2024-12-17 23:22:07
10;Maryse Vasseur;Boulogne-Billancourt;faivrebenoit@yahoo.fr;2021-04-19 20:40:29
11;Zacharie Briand;Créteil;mweber@evrard.org;2024-09-14 19:30:45
12;Zacharie Mace;Paris;frederic46@free.fr;2023-11-10 16:05:30
13;Gilles Charrier;Boulogne-Billancourt;zoe89@brunet.com;2025-02-03 20:32:43
14;Victoire Moreau;Paris;olivier03@hotmail.fr;2020-09-23 02:47:02
15;Antoinette Samson;Créteil;margauxollivier@aubry.fr;2021-10-20 00:49:06
16;Émilie Delannoy-Langlois;Nanterre;cblondel@yahoo.fr;2022-02-09 05:10:57
17;Arthur Maillot-Lefebvre;Créteil;aimeguerin@rolland.com;2022-10-23 14:32:03
18;Pierre Gomez;Versailles;elodiepayet@tiscali.fr;2022-01-24 23:11:14
19;Odette Aubert;Paris;bmonnier@bigot.com;2025-09-23 01:41:58
20;Antoine Antoine;Versailles;leonaubert@joly.fr;2021-07-24 01:51:35
